date,id,activity,gold,iron,oil,silver,copper,aus,chn,clp,per,copper_l1,copper_l2,copper_l3,copper_l4,copper_l5,activity_l1,syp
01-02-09,230,12.87629985809326,952,72.69999694824219,44.7599983215332,13.21000003814697,3390,1.537500023841858,6.836299896240234,605.9979858398438,3.236900091171265,3106,2902,3581,3995,6419,-56.57080078125,73.93000030517578
01-03-09,231,20.66889953613281,916.5,59.59999847412109,49.65999984741211,13.10999965667725,4035,1.500200033187866,6.835999965667725,592.931396484375,3.175400018692017,3390,3106,2902,3581,3995,12.87629985809326,79.51999664306641
01-04-09,232,4.162399768829346,883.25,60.59999847412109,51.11999893188477,12.63000011444092,4515,1.396999955177307,6.830599784851074,583.1757202148438,3.085799932479858,4035,3390,3106,2902,3581,20.66889953613281,87.41999816894531
01-05-09,233,46.77529907226563,975.5,65,66.30999755859375,15.52000045776367,4776,1.307500004768372,6.823500156402588,565.7178955078125,2.994400024414063,4515,4035,3390,3106,2902,4.162399768829346,92.52999877929688
01-06-09,234,87.00099945068359,934.5,78.19999694824219,69.88999938964844,13.9399995803833,5108,1.246099948883057,6.833399772644043,553.0800170898438,2.990999937057495,4776,4515,4035,3390,3106,46.77529907226563,91.94999694824219
01-07-09,235,74.34590148925781,939,95.30000305175781,69.44999694824219,13.63000011444092,5750,1.242400050163269,6.831699848175049,540.4204711914063,3.013200044631958,5108,4776,4515,4035,3390,87.00099945068359,98.80999755859375
01-08-09,236,51.69110107421875,955.5,85.80000305175781,69.95999908447266,14.53999996185303,6490.5,1.197199940681458,6.832300186157227,546.88427734375,2.951200008392334,5750,5108,4776,4515,4035,74.34590148925781,102.4599990844727
01-09-09,237,38.37919998168945,995.75,85.90000152587891,70.61000061035156,16.45000076293945,6136,1.159800052642822,6.827700138092041,549.0709838867188,2.910300016403198,6490.5,5750,5108,4776,4515,51.69110107421875,105.5899963378906
01-10-09,238,53.77500152587891,1040,88.40000152587891,77,16.56999969482422,6575,1.10290002822876,6.826700210571289,545.8328857421875,2.872600078582764,6136,6490.5,5750,5108,4776,38.37919998168945,103.5599975585938
01-11-09,239,89.73470306396484,1175.75,101.5999984741211,77.27999877929688,18.13999938964844,6814.5,1.087299942970276,6.827099800109863,507.7814025878906,2.885600090026855,6575,6136,6490.5,5750,5108,53.77500152587891,109.9400024414063
01-12-09,240,80.01679992675781,1104,118.1999969482422,79.36000061035156,16.98999977111816,7346,1.108500003814697,6.827499866485596,501.4500122070313,2.878400087356567,6814.5,6575,6136,6490.5,5750,89.73470306396484,111.4400024414063
01-01-10,241,68.114501953125,1078.5,120,72.88999938964844,16.29000091552734,6854,1.095700025558472,6.826900005340576,500.6625061035156,2.857300043106079,7346,6814.5,6575,6136,6490.5,80.01679992675781,107.3899993896484
01-02-10,242,51.57170104980469,1108.25,133.1000061035156,79.66000366210938,16.1200008392334,7072,1.12909996509552,6.828499794006348,532.5570068359375,2.85479998588562,6854,7346,6814.5,6575,6136,68.114501953125,110.7399978637695
