date,activity,gold,iron,oil,silver,copper,aus,chn,clp,per,copper_L1,copper_L2,copper_L3,copper_L4,copper_L5,activity_L1
01-09-92,-33.093111,349.00,14.31,21.73,3.77,"2,420",1.384083045,5.5048,376.036,1.376363636,"2,513","2,527","2,296","2,219","2,214",-31.724541
01-10-92,-32.501326,339.25,14.31,20.64,3.77,"2,262",1.398992725,5.5486,373.1014286,1.555714286,"2,420","2,513","2,527","2,296","2,219",-33.093111
01-11-92,-19.736953,334.20,14.31,19.91,3.73,"2,162",1.449695564,5.6134,377.6319048,1.6215,"2,262","2,420","2,513","2,527","2,296",-32.501326
01-12-92,-7.934251,332.90,14.31,19.49,3.67,"2,212",1.449905756,5.8106,380.2175,1.636285947,"2,162","2,262","2,420","2,513","2,527",-19.736953
01-01-93,-12.558448,330.45,12.58,20.26,3.71,"2,264",1.485884101,5.7796,383.9255,1.6975,"2,212","2,162","2,262","2,420","2,513",-7.934251
01-02-93,-10.397015,327.60,12.58,20.56,3.57,"2,212",1.464343242,5.7874,387.9105,1.758,"2,264","2,212","2,162","2,262","2,420",-12.558448
01-03-93,-2.2805808,337.80,12.58,20.44,3.89,"2,152",1.412828483,5.7455,397.2178261,1.839130435,"2,212","2,264","2,212","2,162","2,262",-10.397015
01-04-93,1.7487325,354.30,12.58,20.57,4.30,"1,954",1.405481377,5.7202,401.1914286,1.9105,"2,152","2,212","2,264","2,212","2,162",-2.2805808
01-05-93,7.8275318,377.45,12.58,20.01,4.71,"1,799",1.431434297,5.7392,404.9805,1.965714286,"1,954","2,152","2,212","2,264","2,212",1.7487325
01-06-93,4.4878004,378.45,12.58,18.86,4.58,"1,858",1.481700993,5.7504,403.3015,2.003636364,"1,799","1,954","2,152","2,212","2,264",7.8275318
01-07-93,-6.9973279,401.75,12.58,17.88,5.30,"1,927",1.475143827,5.7756,404.7940909,2.048947368,"1,858","1,799","1,954","2,152","2,212",4.4878004
01-08-93,-6.316088,371.55,12.58,18.26,4.84,"1,951",1.476232654,5.7906,407.6586364,2.076190476,"1,927","1,858","1,799","1,954","2,152",-6.9973279
01-09-93,-4.1491873,355.50,12.58,18.76,4.03,"1,858",1.534448366,5.8015,408.1922727,2.095454545,"1,951","1,927","1,858","1,799","1,954",-6.316088
01-10-93,-7.6972377,369.60,12.58,16.91,4.40,"1,647",1.512859304,5.8013,412.5885,2.1415,"1,858","1,951","1,927","1,858","1,799",-4.1491873
01-11-93,-13.27812,370.90,12.58,15.54,4.47,"1,633",1.504438092,5.8086,412.502381,2.169047619,"1,647","1,858","1,951","1,927","1,858",-7.6972377
01-12-93,-18.455783,391.75,12.58,14.19,5.12,"1,724",1.48456057,5.821,425.7342857,2.163181818,"1,633","1,647","1,858","1,951","1,927",-13.27812
01-01-94,-18.941676,377.90,11.45,15.28,5.06,"1,807",1.436575205,8.7219,430.4452381,2.175238095,"1,724","1,633","1,647","1,858","1,951",-18.455783
01-02-94,-25.020336,381.55,11.45,14.49,5.24,"1,865",1.396453009,8.7249,428.6915,2.177,"1,807","1,724","1,633","1,647","1,858",-18.941676
01-03-94,-25.648872,389.20,11.45,14.80,5.74,"1,913",1.406667604,8.7241,430.4517391,2.173181818,"1,865","1,807","1,724","1,633","1,647",-25.020336
01-04-94,-13.425655,376.45,11.45,16.98,5.28,"1,881",1.397428731,8.7251,424.4715,2.1815,"1,913","1,865","1,807","1,724","1,633",-25.648872
01-05-94,-0.52666792,387.60,11.45,18.03,5.50,"2,145",1.38064338,8.6859,424.6981818,2.188636364,"1,881","1,913","1,865","1,807","1,724",-13.425655
01-06-94,-9.85884,388.25,11.45,19.37,5.25,"2,363",1.364442625,8.6836,420.679,2.19047619,"2,145","1,881","1,913","1,865","1,807",-0.52666792
01-07-94,-5.8807136,384.00,11.45,20.31,5.29,"2,447",1.362212233,8.6605,420.4942857,2.2,"2,363","2,145","1,881","1,913","1,865",-9.85884
01-08-94,-0.63739145,385.75,11.45,17.56,5.36,"2,410",1.351168761,8.6072,419.43,2.233181818,"2,447","2,363","2,145","1,881","1,913",-5.8807136
01-09-94,3.0380066,394.85,11.45,18.39,5.62,"2,505",1.347708895,8.5581,414.8690476,2.259090909,"2,410","2,447","2,363","2,145","1,881",-0.63739145
01-10-94,19.374975,383.85,11.45,18.18,5.35,"2,546",1.355197181,8.5492,412.214,2.237619048,"2,505","2,410","2,447","2,363","2,145",3.0380066
01-11-94,22.215631,383.10,11.45,18.06,5.08,"2,804",1.324678765,8.537,413.4509524,2.196190476,"2,546","2,505","2,410","2,447","2,363",19.374975
01-12-94,28.979596,383.25,11.45,17.77,4.85,"2,981",1.292156609,8.5033,402.23,2.144761905,"2,804","2,546","2,505","2,410","2,447",22.215631
01-01-95,30.075528,374.90,12.27,18.35,4.70,"3,003",1.307702367,8.4608,405.7781818,2.194090909,"2,981","2,804","2,546","2,505","2,410",28.979596
01-02-95,28.627483,376.40,12.27,18.58,4.49,"2,870",1.342822613,8.4553,412.1395,2.2165,"3,003","2,981","2,804","2,546","2,505",30.075528
01-03-95,38.444206,392.00,12.27,19.18,5.16,"2,920",1.361470388,8.4483,410.4573913,2.25826087,"2,870","3,003","2,981","2,804","2,546",28.627483
01-04-95,40.997406,389.75,12.27,20.38,5.83,"2,895",1.359434475,8.4421,394.3284211,2.262777778,"2,920","2,870","3,003","2,981","2,804",38.444206
01-05-95,40.565638,384.30,12.27,18.80,5.30,"2,772",1.375137514,8.337,377.1713636,2.253636364,"2,895","2,920","2,870","3,003","2,981",40.997406
01-06-95,29.09934,387.05,12.27,17.40,5.33,"2,988",1.389660923,8.3206,373.588,2.246666667,"2,772","2,895","2,920","2,870","3,003",40.565638
01-07-95,27.322323,383.35,12.27,17.56,5.10,"3,076",1.373815084,8.3207,378.0680952,2.235,"2,988","2,772","2,895","2,920","2,870",29.09934
01-08-95,33.156162,382.35,12.27,17.89,5.32,"3,040",1.348799568,8.3253,387.2740909,2.243636364,"3,076","2,988","2,772","2,895","2,920",27.322323
01-09-95,29.335412,384.00,12.27,17.54,5.53,"2,910",1.326787847,8.3374,394.5627778,2.25047619,"3,040","3,076","2,988","2,772","2,895",33.156162
01-10-95,13.425659,382.65,12.27,17.67,5.36,"2,810",1.321003963,8.3353,406.6171429,2.261090909,"2,910","3,040","3,076","2,988","2,772",29.335412
01-11-95,9.7805549,387.80,12.27,18.24,5.18,"2,982",1.341741581,8.3334,412.3095238,2.318380952,"2,810","2,910","3,040","3,076","2,988",13.425659
01-12-95,7.8618968,387.00,12.27,19.56,5.14,"2,918",1.350438893,8.335,408.9842105,2.329263158,"2,982","2,810","2,910","3,040","3,076",9.7805549
01-01-96,2.838852,405.55,12.97,17.75,5.52,"2,605",1.348254011,8.3384,408.5318182,2.354272727,"2,918","2,982","2,810","2,910","3,040",7.8618968
01-02-96,-4.7697315,400.65,12.97,19.59,5.52,"2,545",1.323451562,8.3338,410.9657143,2.358904762,"2,605","2,918","2,982","2,810","2,910",2.838852
01-03-96,-8.5454472,396.35,12.97,21.48,5.52,"2,563",1.296344309,8.3495,411.5466667,2.359809524,"2,545","2,605","2,918","2,982","2,810",-4.7697315
01-04-96,-3.7627075,391.30,12.97,21.16,5.28,"2,594",1.272750414,8.3515,408.4247619,2.36845,"2,563","2,545","2,605","2,918","2,982",-8.5454472
01-05-96,-6.5772995,390.55,12.97,19.74,5.34,"2,659",1.254705144,8.3479,406.2304762,2.413954545,"2,594","2,563","2,545","2,605","2,918",-3.7627075
01-06-96,-17.257793,382.00,12.97,20.93,5.03,"2,178",1.263902932,8.3424,409.8468421,2.44475,"2,659","2,594","2,563","2,545","2,605",-6.5772995
01-07-96,-30.188923,385.30,12.97,20.48,5.11,"1,984",1.26630366,8.3409,410.7230435,2.449181818,"2,178","2,659","2,594","2,563","2,545",-17.257793
01-08-96,-33.055201,386.45,12.97,22.26,5.20,"2,018",1.277139208,8.3379,411.1004762,2.470285714,"1,984","2,178","2,659","2,594","2,563",-30.188923
01-09-96,-38.501959,379.00,12.97,24.18,4.88,"1,935",1.26135217,8.3341,411.8444444,2.495761905,"2,018","1,984","2,178","2,659","2,594",-33.055201
01-10-96,-29.210752,379.50,12.97,23.21,4.83,"1,960",1.262945188,8.3299,415.5526087,2.56,"1,935","2,018","1,984","2,178","2,659",-38.501959
01-11-96,-4.7415333,371.30,12.97,23.75,4.74,"2,215",1.25502008,8.3294,420.03,2.5886,"1,960","1,935","2,018","1,984","2,178",-29.210752
01-12-96,-2.3050712,369.25,12.97,25.93,4.80,"2,265",1.255335174,8.329,422.41,2.58752381,"2,215","1,960","1,935","2,018","1,984",-4.7415333
